"n","miss_rate","model","n_reps","mean_tr_mi","mean_tr_fiml","bias","sd_diff","rmse","cor"
500,0.25,"M5",1995,1.16405440936335,1.45409908807446,-0.29004467871111,0.253897574723464,0.385431681790606,0.397059009079211
500,0.25,"M6",1995,1.26980785031292,1.39198122928503,-0.122173378972111,0.2822212446839,0.307465837540291,0.369374773432094
500,0.25,"M7",1993,1.23635998017638,28.6750374111319,-27.4386774309555,742.357070172384,742.677847954567,-0.0953837579802521
500,0.25,"M8",1995,1.23323858337024,1.39772555302979,-0.164486969659551,0.299046239995751,0.341232751139993,0.370876328548098
500,0.25,"M9",1995,1.31136813882062,1.47100870282848,-0.159640564007859,0.304796980884167,0.344005439223756,0.367836271172705
500,0.25,"Msat",1995,2.67758032774855,2.68911821958906,-0.0115378918405107,0.394203082938081,0.394273129668754,0.500714547629691
500,0.4,"M1",1991,1.95901529117309,2.12303132190378,-0.16401603073069,0.361771965505411,0.397132821705784,0.364423402669144
500,0.4,"M10",1991,2.02786790051668,2.22423302086928,-0.196365120352604,0.326382874862088,0.380830064250941,0.425770591627555
500,0.4,"M11",1991,1.71265870010044,2.44140979311411,-0.728751093013666,0.415625848720109,0.838889884810283,0.568214726700469
500,0.4,"M12",1991,1.86729868883079,2.60362943519483,-0.736330746364042,0.451270949244271,0.863554372731966,0.704523797256348
500,0.4,"M2",1991,1.8843866298287,2.18470860696556,-0.300321977136863,0.342240096786824,0.455261183199492,0.391826137824222
500,0.4,"M3",1991,1.77809652194953,2.0741853991449,-0.29608887719537,0.296634793776212,0.419066377915994,0.369381987967264
500,0.4,"M4",1991,1.96798928649668,3.36226617413884,-1.39427688764216,0.583278913864529,1.51130786231133,0.788428518302604
500,0.4,"M5",1991,1.91427496377361,2.21890687527892,-0.304631911505313,0.317026925518385,0.439609136409133,0.370907991203227
500,0.4,"M6",1991,2.09074552895166,2.25285926727744,-0.162113738325779,0.376968485014446,0.410261781118583,0.344501664526029
500,0.4,"M7",1988,2.02668180260401,90.1205119606114,-88.0938301580074,2906.82953933403,2907.43326022896,-0.0932476465219825
500,0.4,"M8",1991,2.02804993437334,2.23103940614995,-0.202989471776618,0.389224771576842,0.438890143536096,0.365941248506358
500,0.4,"M9",1991,2.15979547985157,2.36150561951023,-0.201710139658666,0.401765466056377,0.449467904955613,0.347533876339827
500,0.4,"Msat",1991,4.4401777178563,4.47554604815969,-0.0353683303033858,0.516850921888174,0.517930133354818,0.470696272943769
1000,0.1,"M1",2000,0.461718500457592,0.512143468570916,-0.0504249681133233,0.113698989295442,0.124353021056794,0.384662911067485
1000,0.1,"M10",2000,0.476543958489722,0.543124257826718,-0.0665802993369955,0.10596778392196,0.12512590820258,0.41469516529243
1000,0.1,"M11",2000,0.404344774990434,1.08480317269517,-0.680458397704738,0.230128023516436,0.718300813559944,0.36889145582907
1000,0.1,"M12",2000,0.435589753889526,1.11971995447906,-0.684130200589534,0.26859766208632,0.734944054391131,0.368914272535999
1000,0.1,"M2",2000,0.444675225103262,0.668806626050774,-0.224131400947512,0.129764098872483,0.258969470954018,0.367278581445251
1000,0.1,"M3",2000,0.420955191607573,0.664036982167073,-0.2430817905595,0.119639297019148,0.270915413943453,0.375462635637335
1000,0.1,"M4",2000,0.468681659790819,2.06268925351304,-1.59400759372222,0.481013649951392,1.66496806372313,0.613761367698448
1000,0.1,"M5",2000,0.451182806365033,0.694592530547224,-0.243409724182191,0.128358489429901,0.275165327910825,0.388921668442243
1000,0.1,"M6",2000,0.491824102746232,0.539791602202261,-0.0479674994560287,0.114533591349001,0.124146146052104,0.409898212386627
1000,0.1,"M7",2000,0.479348386429959,1.16338240682867,-0.684034020398714,0.554883871745082,0.880706934303392,0.14578753750534
1000,0.1,"M8",2000,0.476528415347671,0.54323830893122,-0.0667098935835496,0.124161775615561,0.140920716548971,0.36770952489622
1000,0.1,"M9",2000,0.506645280651276,0.571138040634359,-0.0644927599830826,0.124990137916812,0.140620195560278,0.391928528478598
