"method","model","tr_RIV","term1","term2","term3","total"
"amelia","Msat",4.24439972655211,1.27677811903368,-0.0195727491491198,-2.45121194723788,-1.19400657735332
"amelia","M1",1.98401931521723,-12.3616352629883,0.0385589618422273,-0.821832225003163,-13.1449085261493
"amelia","M2",1.8725864110017,-12.2068372806598,0.059183958527683,-0.840076208442952,-12.9877295305751
"amelia","M3",1.80614676282955,-12.6760418820013,0.0639985951379458,-0.818431242747465,-13.4304745296108
"amelia","M4",1.69748789097165,-11.2253794038052,0.0405678318220453,-0.771456211111399,-11.9562677830945
"amelia","M5",2.05766682993011,-12.7097292377744,0.0282140822382644,-0.762716290981189,-13.4442314465173
"amelia","M6",2.21079525555868,-12.4235033577747,-0.00870044689827409,-0.750955725615768,-13.1831595302888
"amelia","M7",1.9882518713492,-13.6765343222892,0.0950440798910677,-0.916242124393648,-14.4977323667918
"amelia","M8",2.06688398146345,-12.3900576728597,0.0250788199018643,-0.845423863622273,-13.2104027165801
"amelia","M9",2.29394615665367,-12.4558992616953,-0.0148551303300337,-0.780807365760666,-13.251561757786
"amelia","M10",2.06585307807746,-12.3886424663224,0.0234415320337575,-0.845412278446929,-13.2106132127356
"amelia","M11",1.55361817405652,-12.0595324447613,0.0114244565738773,-0.683812557045712,-12.7319205452332
"amelia","M12",1.77617519507785,-12.8464304763547,0.0743320246833719,-0.872240386084286,-13.6443388377556
"amelia","Msat",4.43888192712037,-10.3193934104115,-0.00540231679315184,-1.47808571496807,-11.8028814421727
"amelia","M1",2.1489806890945,14.0453674052319,-0.0560545138482667,-1.2169787685466,12.772334122837
"amelia","M2",2.03675266739316,14.6867463962935,0.0377878990721001,-1.27469878648435,13.4498355088813
"amelia","M3",2.05135992375899,13.6030944730123,0.0179412833372226,-1.15673451236898,12.4643012439806
"amelia","M4",2.51710692736973,10.7153453331543,-0.566003893988182,-0.85390838894773,9.29543305021843
"amelia","M5",2.3146238955652,13.6667895931346,0.070347751407553,-1.20071330784094,12.5364240367012
"amelia","M6",2.48231805635852,14.0713061869496,-0.0428611078045833,-1.23253430273007,12.795910776415
"amelia","M7",2.47230428637105,13.5700881213438,0.0212625175549874,-1.50271947974443,12.0886311591544
"amelia","M8",2.20203980029438,14.0783788457893,-0.0564494545537855,-1.32977762325891,12.6921517679766
"amelia","M9",2.53471908069746,14.1145514371601,-0.0474861827142377,-1.34982034296581,12.7172449114801
"amelia","M10",2.20117682648287,14.0746168328428,-0.0526574885393529,-1.32976790994553,12.6921914343579
"amelia","M11",1.9866660485371,10.8093539575375,-0.460498984215519,-0.75908867442331,9.58976629889867
"amelia","M12",2.02015521862417,12.1935077445241,-0.143432522085277,-1.07632347910021,10.9737517433387
"amelia","Msat",5.37371091340954,16.5591312607503,-0.0488209083059701,-3.83822104904357,12.6720893034008
"amelia","M1",1.8492727905948,1.06408314436567,-0.0450521285874856,-0.57274278844352,0.446288227334662
"amelia","M2",1.71875971323056,0.0238389526166429,-0.0917317394346355,-0.465431245849231,-0.533324032667224
"amelia","M3",1.63666939960285,-2.28015263524685,-0.0400188262660777,-0.369134721160663,-2.68930618267359
"amelia","M4",1.73683538536707,-2.61355836604662,-0.113978582729032,-0.399574503210715,-3.12711145198637
"amelia","M5",1.81640631095777,-2.32287203759915,-0.031697773736596,-0.394172918884124,-2.74874273021987
"amelia","M6",2.02912036909027,1.16682811933424,-0.0379536697696494,-0.585308216959675,0.543566232604917
"amelia","M7",2.00806326311804,1.64686278634008,-0.0726638830674347,-0.587249134803187,0.986949768469458
"amelia","M8",1.9005965567056,0.900301234727976,-0.0662352907670538,-0.577018341994517,0.257047601966406
"amelia","M9",2.08035738002632,1.00314229222977,-0.057709703630735,-0.589393445655787,0.356039142943246
"amelia","M10",1.90032195250747,0.903697712899884,-0.0696177052177518,-0.577017216992772,0.257062790689361
"amelia","M11",1.60115401178042,-2.93295519237745,-0.0293892330309973,-0.485998006053251,-3.4483424314617
"amelia","M12",1.66507849081967,-2.42678653500343,-0.0556578064065434,-0.46366967209724,-2.94611401350721
"amelia","Msat",4.12867204635706,3.64095839757147,-0.102963064521191,-2.34845515400639,1.18954017904389
"amelia","M1",2.17648401299277,-2.88084808311578,-0.0275575879063581,-1.61095012553096,-4.5193557965531
"amelia","M2",2.11990543143612,-2.87629719055576,-0.0601980918863774,-1.73364097916237,-4.67013626160451
"amelia","M3",1.94471948630317,-1.73880776392571,0.051551456771449,-1.49415043511317,-3.18140674226743
"amelia","M4",2.08477465223966,-3.2825649863812,-0.206733273805639,-1.57168905060007,-5.06098731078691
"amelia","M5",2.08223363414419,-1.55656959394264,0.0364967711011559,-1.52189899527002,-3.04197181811151
"amelia","M6",2.34191362571029,-2.84739070271917,-0.020522670554783,-1.61794273119222,-4.48585610446617
"amelia","M7",2.08594305677219,-1.60604591700485,-0.0033540346908012,-1.45514425853162,-3.06454421022727
"amelia","M8",2.27431445272096,-2.89262764592968,-0.0325867048536566,-1.64405695414462,-4.56927130492795
"amelia","M9",2.43549715355005,-2.85775060905144,-0.0258005049390704,-1.65104188603664,-4.53459300002714
"amelia","M10",2.27359331102331,-2.88811679112678,-0.0372416749569311,-1.6440794619416,-4.56943792802531
"amelia","M11",1.83343109117545,-6.05254365778728,-0.0705998247667594,-1.37882193746782,-7.50196542002186
